"","id","national_sss","condition","procedure","manipulation_check","Q153_1","Q153_2","Q153_3","Q153_4","Q153_5","Q153_6","Q153_7","Q145_1","Q145_2","Q145_3","Q145_4","Q145_5","Q145_6","Q145_7","Q146_1","Q146_2","Q146_3","Q146_4","Q146_5","Q146_6","Q67_1","Q67_2","Q67_3","Q67_4","Q67_5","Q67_6","Q123_1","Q123_2","Q123_3","Q123_4","Q174","Q175","Q176","Q177","Q96","Q98","Q100","Q102","Q124_1","Q124_2","Q124_3","Q124_4","Q124_5","Q124_6","Q124_7","Q124_8","Q124_9","Q124_11","Q124_12","Q124_13","Q124_14","Q124_15","Q124_17","Q124_18","Q142","Q102_1","Q102_2","Q102_3","Q102_4","Q102_5","Q102_6","Q102_7","Q103_1","Q103_2","Q103_3","Q103_4","Q103_5","Q103_6","Q103_7","Q128","Q130","Q132","Q134","positive_emotion","negative_emotion","CH1_reverse","CH2_reverse","CH3_reverse","FH1_reverse","FH2_reverse","current_health","future_health","happiness1_reverse","happiness2_reverse","happiness_wake","happiness_general","exercise_intent","EC2_reverse","EC4_reverse","EC5_reverse","PT1_reverse","PT4_reverse","empathetic_concern","perspective_taking"
"1","21678",8,"high_sss","It was a remarkable experience to be at the top of this ladder after our 5-year reunion. I was never anywhere near this kind of social standing when I was a student; of course, I loved my time as a student, but never did I have so much influence and respect from people I barely knew. It feels somewhat uncomfortable, just because I am not used to being in such a position, but it is a satisfying feeling nonetheless. It proves to me that my hard work has paid off.",1,3,3,2,2,1,3,1,2,3,4,3,2,2,2,1,4,2,2,3,4,4,5,5,3,2,2,5,3,1,5,6,4,3,4,6,5,3,4,50,65,90,90,50,30,41,86,66,59,70,80,100,100,85,65,1,5,1,4,1,1,4,4,1,4,4,2,2,3,4,1998,"2","51",5,2.8,2.1,1,1,4,1,1,2.5,1.5,4,4,4.25,4.5,70.4375,5,5,5,5,4,4.57142857142857,3.71428571428571
"2","21811",3,"high_sss","After seeing my old friends and classmates I feel as if they had not changed their perspectives of me at all since our last encounters.",1,2,1,1,3,1,2,1,1,3,3,4,3,2,2,1,1,1,2,2,3,4,5,5,4,2,2,4,4,3,2,5,5,6,3,5,4,3,5,85,51,100,66,80,41,75,94,87,60,48,85,100,100,84,97,1,4,2,4,1,1,5,4,2,3,2,2,3,2,3,2001,"2","21,51",3,2.7,1.2,1,1,4,2,4,2.66666666666667,3.25,5,3,5.25,3.75,78.3125,4,5,5,4,4,4.42857142857143,3
"3","21340",7,"high_sss","I would definitely be very confident in the things I am saying and doing. I think I would feel as if I was slightly better than the people around me.",1,5,2,1,2,2,4,2,2,5,5,4,3,4,4,1,2,1,3,3,3,2,3,2,2,2,4,4,2,2,3,7,6,7,2,7,6,6,2,60,20,72,19,100,72,50,10,40,7,38,31,93,75,50,100,1,2,2,3,2,2,5,3,2,4,3,2,4,2,3,2002,"2","51",5,3.9,1.9,3,4,2,2,3,2.5,2.25,6,6,6.5,6.25,52.3125,4,4,4,4,4,3.57142857142857,3.42857142857143
"4","21415",8,"high_sss","I would feel very powerful and respected. I would probably feel like I had a lot of influence, like everyone knew about me, and would have a good time at the reunion.",1,1,2,1,1,1,3,1,1,2,3,3,2,2,2,1,2,2,1,1,2,4,3,4,3,2,1,3,2,2,4,5,5,5,2,5,6,5,2,50,72,82,21,38,27,57,43,63,29,66,59,60,77,29,76,2,4,2,4,1,2,4,4,2,3,4,2,4,3,3,2002,"2","51",4,2.1,1.3,3,2,5,3,2,3.16666666666667,2.25,6,6,5.25,5.5,53.0625,4,5,4,4,4,4.14285714285714,3.57142857142857
"5","21759",9,"high_sss","If I was at the top of the latter I would feel very proud of myself and like I really accomplished a lot in life. I wouldnt act superior to everyone else though although deep down I might feel like it",1,4,1,1,4,1,4,1,1,5,5,5,5,5,5,1,1,2,3,2,2,4,1,4,4,3,1,5,2,2,4,6,6,6,3,6,6,6,2,61,79,73,66,71,53,52,39,45,75,76,52,66,56,53,72,1,4,2,3,1,1,3,2,2,3,4,1,3,2,2,2002,"1","51",5,4.4,1.4,5,2,5,1,2,3.83333333333333,1.75,5,6,5.75,6,61.8125,4,5,5,4,5,3.71428571428571,3.28571428571429
"6","21816",7,"high_sss","I would feel very accomplished and that I have done a lot better than the rest of my peers.",1,4,3,3,4,2,4,3,4,2,3,3,4,5,2,4,2,3,2,3,3,4,3,2,3,3,2,2,3,4,3,5,4,5,4,5,4,3,5,51,70,29,52,37,77,44,54,31,69,33,66,39,66,48,24,4,4,3,2,3,4,3,2,3,2,4,3,3,2,3,2001,"2","41,51",4,3.4,2.9,3,4,4,4,3,3.5,3.5,4,3,4.5,3.75,49.375,3,3,2,3,3,2.71428571428571,2.85714285714286
"7","21341",7,"high_sss","I would feel very pleased with myself. I think having others look up to me would feel good. I would probably act a bit more entitled than I do now. My thinking process would be different because I would not be so concerned about how others perceived me.",1,1,3,3,1,2,2,1,1,1,3,2,2,1,1,1,4,3,1,1,1,5,2,1,4,2,1,1,3,3,2,1,1,1,5,4,2,4,4,30,100,100,50,80,20,90,52,30,10,0,40,100,80,57,100,1,2,4,4,4,3,1,1,3,5,4,2,4,3,4,2001,"1","51",5,1.5,2,4,5,5,5,4,4.16666666666667,3.75,3,4,1.5,3.5,58.6875,2,2,3,3,4,2.14285714285714,3.85714285714286
"8","21802",7,"high_sss","I would look for those at the bottom of the ladder and would understand that you need to get outside of yourself and help other people in order to help yourself. This has been mentality has arisen due to personal experience",1,2,3,2,1,2,2,3,4,2,3,2,3,3,1,3,3,4,1,2,4,4,5,2,5,4,2,4,3,3,4,3,3,3,5,4,4,3,5,65,72,61,40,48,33,67,42,71,60,67,26,43,57,43,56,2,5,1,5,1,1,1,4,4,2,3,1,1,3,3,2000,"2","39,51",4,2.3,2.7,1,4,4,2,2,3.66666666666667,2.5,3,3,3,3.5,53.1875,5,5,5,2,5,4.28571428571429,2.71428571428571
"9","21349",5,"high_sss","I attended my 5-year college reunion for the Class of 2024 yesterday. Everyone that I graduated with is pretty well off, and it was really cool to hear all that everyone had accomplished. I wanted to talk about my accomplishments as well, but I didn't want to come off as a bragger. I kept a lot of it to myself, unless someone asked me to share what I have been doing and what successes I've had. I felt good knowing that I was doing well in life, although I did find myself comparing my life to theirs. However, I know that I am well respected in my field and I don't need validation from others, but it gave me a confidence boost to know I am on the right track and doing well.",1,4,3,2,3,2,3,2,3,4,3,4,4,4,2,3,2,3,1,1,4,2,3,4,5,4,3,4,2,2,5,5,3,3,3,5,4,3,3,81,51,93,30,50,21,31,31,35,11,71,51,72,90,25,41,1,4,2,4,2,2,4,4,2,4,5,3,4,3,3,2001,"1","51",4,3.5,2.2,3,2,3,2,1,3.16666666666667,1.75,5,5,4,4.25,49,4,4,4,4,3,4,3.71428571428571
"10","21494",7,"high_sss","Being at the top of the ladder means that I've not only been highly successful academically and have maintained high achievement scholastically, but also that I am very socially adept. To be at the top rung I have impressed a variety of different groups with different values. TO an extent I am an every man, but also someone who is looked up to for a multitude of different reasons. I am the life of the party yet not unapproachable or intimidating. My current job shows my continued trajectory for success proving to on lookers that their perception of me is well founded. I feel comfortable and calm at all times and seek out the fun in any situation. I look for how I connect to others and emphasize the relation to foster close relationships. I make each individual who I interact with feel special and listened to.  a",1,2,4,3,1,3,1,2,1,1,1,1,2,1,1,2,5,3,1,1,1,5,3,3,5,5,1,4,3,3,4,1,1,1,1,1,2,1,1,80,20,100,100,80,0,40,100,100,50,100,100,100,100,100,100,3,1,5,5,4,4,1,1,1,3,4,1,1,2,3,2001,"2","51",4,1.2,2.5,3,3,5,2,2,4.33333333333333,2.5,7,7,2.5,2.75,79.375,1,2,2,5,5,1.85714285714286,3.28571428571429
"11","21827",8,"high_sss","Yesterday, I went to my 5 year college reunion. It was really nice to catch up with everyone and see people I haven’t seen in years. People told me they had heard about some of my accomplishments but I don’t like to brag. It was nice to be recognized by a lot of people.",1,3,2,1,2,1,3,1,1,4,3,3,3,4,2,1,1,1,3,2,4,2,4,3,2,2,4,4,3,2,4,6,4,5,2,6,5,4,2,10,20,0,50,51,42,49,47,10,0,0,5,50,31,NA,50,2,2,1,2,1,1,3,4,1,3,3,1,3,2,2,2002,"1","51",5,3.1,1.4,2,3,2,2,2,2.16666666666667,2.25,6,6,5.25,5.25,27.6666666666667,5,5,5,5,5,3.71428571428571,3.28571428571429
